Dress	连衣裙
dress flip	连衣裙翻转
dress grab	抓住连衣裙
dress lift	提起连衣裙
dress pull	拉连衣裙
dress tug	牵连衣裙
open dress	敞开的连衣裙
skirt basket	裙篮
tied dress	系着的连衣裙
torn dress	破连衣裙
wet dress	湿连衣裙
Appearance and models of dresses	连衣裙的外观和款式
Specific colors of dress	连衣裙的特定颜色
aqua dress	水绿色连衣裙
black dress	黑色连衣裙
blue dress	蓝色连衣裙
brown dress	棕色连衣裙
green dress	绿色连衣裙
grey dress	灰色连衣裙
orange dress	橙色连衣裙
pink dress	粉色连衣裙
purple dress	紫色连衣裙
red dress	红色连衣裙
sepia dress	棕褐色连衣裙
white dress	白色连衣裙
yellow dress	黄色连衣裙
Multiple colors of dress	连衣裙的多种颜色
multicolored dress	多彩连衣裙
two-tone dress	双色连衣裙
Patterns and prints of dress	连衣裙的图案和印花
argyle dress	菱形格连衣裙
checkered dress	方格连衣裙
flag dress	国旗连衣裙
plaid dress	格子连衣裙
polka dot dress	波点连衣裙
print dress	印花连衣裙
striped dress	条纹连衣裙
vertical-striped dress	竖条纹连衣裙
pinstripe dress	细条纹连衣裙
Other details of the apperance of the dress	连衣裙的其他外观细节
armored dress	铠甲连衣裙
backless dress	露背连衣裙
crinoline	硬纱裙
collared dress	带领连衣裙
frilled dress	褶边连衣裙
fur-trimmed_dress	毛皮镶边连衣裙
half-dress	半身连衣裙
halter dress	露背颈挂带连衣裙
highleg dress	高腰连衣裙
high-low skirt	高低裙
hobble dress	紧身连衣裙
impossible dress	不可能的连衣裙
lace-trimmed dress	蕾丝镶边连衣裙
latex dress	乳胶连衣裙
layered dress	层叠连衣裙
long dress	长连衣裙
off-shoulder dress	露肩连衣裙
pleated dress	百褶连衣裙
plunging neckline	深V领连衣裙
ribbed dress	条纹连衣裙
ribbon-trimmed_dress	丝带镶边连衣裙
short dress	短连衣裙
side slit	侧开叉
taut dress	紧身连衣裙
see-through dress	透视连衣裙
sleeveless dress	无袖连衣裙
strapless dress	无肩带连衣裙
Models of dress as a whole	连衣裙的整体款式
cake dress	蛋糕连衣裙
china dress	中国风连衣裙
coat dress	外套式连衣裙
cocktail dress	鸡尾酒连衣裙
denim dress	牛仔连衣裙
dirndl	德式民族服饰
evening gown	晚礼服
flowing dress	飘逸连衣裙
funeral dress	葬礼连衣裙
gown	礼服
mermaid dress	美人鱼连衣裙
negligee	蕾丝睡衣
nightgown	睡裙
pencil dress	铅笔裙
pinafore dress	围裙式连衣裙
sailor dress	水手服连衣裙
santa dress	圣诞连衣裙
sundress	夏日连衣裙
sweater dress	毛衣连衣裙
tennis dress	网球裙
trapeze dress	高飞跳连衣裙
tube dress	管状连衣裙
vietnamese dress	越南式连衣裙
wedding dress	婚纱
