 to ""bowl on head"""	“碗帽”应该更名为“头上的碗”
"bowl hat should probably be rename	头上物品
"fedora,actually a trilby,a fedora has a circular brim that curves upwards everywhere, never downwards"	软呢帽，实为特里比帽
Accessories	配饰
Actions / states	行为/状态
Altyn helmet	阿尔廷头盔
American football helmet	美式橄榄球头盔
Appearance and models of dresses	连衣裙的外观和款式
Brimless	无檐帽
Budget sarashi	经济型腹带
Chest sarashi	胸部绑带
Crowns	王冠类
Dress	连衣裙
Hats	帽子
Head and Face	头部和面部
Headwear and Headgear	头饰与头巾
Helmets	头盔类
Jewelry and Accessories	珠宝和配饰
Legs and Feet	腿和脚
Limbs	四肢配饰
M1 helmet	M1头盔
M43 field cap WWII-era German military cap	M43德军野战帽（二战时期）
Mao cap	毛主席帽
Midriff sarashi	腹部绑带
Misc	杂项
Models of dress as a whole	连衣裙的整体款式
Multiple Colors	多种颜色
Multiple colors of dress	连衣裙的多种颜色
Neck and Shoulders	颈部和肩部
Non-specific styles	非特定风格
Not headwear	非头饰
Other	其他
Other details of the apperance of the dress	连衣裙的其他外观细节
Pants and Bottomwear	裤装和下装
Pattern	图案
Patterns	图案
Patterns and prints of dress	连衣裙的图案和印花
Pickelhaube	尖顶头盔
Prints	印花
See also	另见
See tag group:legwear.	查看标签组：腿部穿着。
See tag group:neck and neckwear.	查看标签组：颈部和肩部。
Shirts and Topwear	衬衫与上衣
Shoes and Footwear	鞋和鞋类
Specific colors of dress	连衣裙的特定颜色
Stahlhelm	斯塔尔海姆头盔
Styles and Patterns	风格与图案
Swimsuits and Bodysuits	泳装和紧身衣物
Torso and Misc	躯干及其他配件
Traditional Clothing	传统服装
Undone sarashi	松散腹带
Uniforms and Costumes	制服和服装
With brim	有边缘的
With ear flaps	带耳瓣的帽子
With visor	有遮阳板的
adjusting headwear	调整头饰
adjusting legwear	调整腿部服饰
adrian helmet	阿德里安头盔
aiguillette	军装肩绳
ajirogasa	编织草帽
alternate legwear	交替腿部服饰
american flag legwear	美国国旗腿部服饰
amigasa	网织草帽
anchor hat ornament	锚形帽饰
animal costume	动物装
animal ear legwear	动物耳朵腿部服饰
animal ears helmet	动物耳朵头盔
animal hat	动物帽
animal print	动物图案
animal slippers	动物拖鞋
ankle boots	短靴
ankle socks	短袜
anklet	脚链
apron	围裙
aqua dress	水绿色连衣裙
aqua headwear	水蓝色头饰
aran legwear	阿兰腿部服饰
aran sweater	爱尔兰毛衣
argyle	菱形格
argyle dress	菱形格连衣裙
argyle legwear	菱形格子腿部服饰
